2026-04-25 19:56:07,104 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2026-04-25 19:56:07,871 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2026-04-25 19:56:08,471 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2026-04-25 19:56:08,871 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2026-04-25 19:56:09,505 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 19:57:06,129 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:58:09,921 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 20:00:38,992 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:01:16,892 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:01:17,242 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:01:17,612 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:01:19,042 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:02:16,444 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:02:17,209 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:02:17,698 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:02:18,092 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:03:14,694 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:03:15,777 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:03:16,111 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:03:17,061 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:03:17,444 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:07:09,336 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 20:07:32,780 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-25 20:07:32,780 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-25 20:07:34,884 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-25 20:07:34,884 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-25 20:07:34,884 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-25 20:07:34,885 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-25 20:07:34,885 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-25 20:07:34,885 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-25 20:07:34,885 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-25 20:07:46,748 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:08:03,423 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:08:27,415 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:08:27,915 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-25 20:08:28,432 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 20:08:54,426 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
